instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_actual,hum_actual,day_type,casual_pct,registered_pct
1065,2011-02-17,1,0,2,2,0,4,1,2,0.34,0.3182,0.53,0.2239,2,4,6,13.940000000000001,53.0,Workday,28.57142857142857,57.14285714285714
1066,2011-02-17,1,0,2,3,0,4,1,1,0.34,0.3333,0.53,0.194,3,1,4,13.940000000000001,53.0,Workday,60.0,20.0
1067,2011-02-17,1,0,2,4,0,4,1,1,0.32,0.3182,0.57,0.194,3,1,4,13.120000000000001,56.99999999999999,Workday,60.0,20.0
1068,2011-02-17,1,0,2,5,0,4,1,1,0.32,0.3333,0.66,0.0896,1,11,12,13.120000000000001,66.0,Workday,7.6923076923076925,84.61538461538461
1069,2011-02-17,1,0,2,6,0,4,1,1,0.3,0.303,0.7,0.1343,3,44,47,12.299999999999999,70.0,Workday,6.25,91.66666666666666
1070,2011-02-17,1,0,2,7,0,4,1,1,0.32,0.3333,0.57,0.1045,7,119,126,13.120000000000001,56.99999999999999,Workday,5.511811023622047,93.7007874015748
1071,2011-02-17,1,0,2,8,0,4,1,1,0.32,0.3333,0.57,0.0896,18,267,285,13.120000000000001,56.99999999999999,Workday,6.293706293706294,93.35664335664336
1072,2011-02-17,1,0,2,9,0,4,1,1,0.36,0.3485,0.57,0.194,16,163,179,14.76,56.99999999999999,Workday,8.88888888888889,90.55555555555556
1073,2011-02-17,1,0,2,10,0,4,1,1,0.38,0.3939,0.54,0.194,18,70,88,15.58,54.0,Workday,20.224719101123593,78.65168539325843
1074,2011-02-17,1,0,2,11,0,4,1,2,0.44,0.4394,0.44,0.2537,19,71,90,18.04,44.0,Workday,20.87912087912088,78.02197802197803
1075,2011-02-17,1,0,2,12,0,4,1,1,0.48,0.4697,0.41,0.2239,15,86,101,19.68,41.0,Workday,14.705882352941178,84.31372549019608
1076,2011-02-17,1,0,2,13,0,4,1,1,0.54,0.5152,0.34,0.2239,15,108,123,22.14,34.0,Workday,12.096774193548388,87.09677419354838
1077,2011-02-17,1,0,2,14,0,4,1,1,0.6,0.6212,0.31,0.2239,26,55,81,24.599999999999998,31.0,Workday,31.70731707317073,67.07317073170732
1078,2011-02-17,1,0,2,15,0,4,1,1,0.6,0.6061,0.28,0.2537,15,91,106,24.599999999999998,28.000000000000004,Workday,14.018691588785046,85.04672897196261
1079,2011-02-17,1,0,2,16,0,4,1,2,0.56,0.5303,0.35,0.2985,29,117,146,22.96,35.0,Workday,19.727891156462583,79.59183673469387
1080,2011-02-17,1,0,2,17,0,4,1,2,0.58,0.5455,0.32,0.2985,18,256,274,23.779999999999998,32.0,Workday,6.545454545454546,93.0909090909091
1081,2011-02-17,1,0,2,18,0,4,1,2,0.54,0.5152,0.42,0.2836,11,211,222,22.14,42.0,Workday,4.932735426008969,94.61883408071749
1082,2011-02-17,1,0,2,19,0,4,1,1,0.48,0.4697,0.55,0.3284,14,161,175,19.68,55.00000000000001,Workday,7.954545454545454,91.47727272727273
1083,2011-02-17,1,0,2,20,0,4,1,1,0.48,0.4697,0.59,0.3284,8,131,139,19.68,59.0,Workday,5.714285714285714,93.57142857142857
1084,2011-02-17,1,0,2,21,0,4,1,1,0.52,0.5,0.55,0.3881,5,119,124,21.32,55.00000000000001,Workday,4.0,95.19999999999999
1085,2011-02-17,1,0,2,22,0,4,1,1,0.5,0.4848,0.59,0.2836,8,68,76,20.5,59.0,Workday,10.38961038961039,88.31168831168831
1086,2011-02-17,1,0,2,23,0,4,1,1,0.46,0.4545,0.67,0.2985,4,40,44,18.86,67.0,Workday,8.88888888888889,88.88888888888889
1087,2011-02-18,1,0,2,0,0,5,1,1,0.44,0.4394,0.72,0.2836,12,20,32,18.04,72.0,Workday,36.36363636363637,60.60606060606061
1088,2011-02-18,1,0,2,1,0,5,1,1,0.44,0.4394,0.72,0.2239,1,7,8,18.04,72.0,Workday,11.11111111111111,77.77777777777779
1089,2011-02-18,1,0,2,2,0,5,1,1,0.44,0.4394,0.72,0.2836,2,5,7,18.04,72.0,Workday,25.0,62.5
1090,2011-02-18,1,0,2,3,0,5,1,1,0.46,0.4545,0.67,0.2537,2,6,8,18.86,67.0,Workday,22.22222222222222,66.66666666666666
1091,2011-02-18,1,0,2,4,0,5,1,1,0.46,0.4545,0.67,0.2537,0,1,1,18.86,67.0,Workday,0.0,50.0
1092,2011-02-18,1,0,2,5,0,5,1,2,0.46,0.4545,0.67,0.1045,1,6,7,18.86,67.0,Workday,12.5,75.0
1093,2011-02-18,1,0,2,6,0,5,1,2,0.44,0.4394,0.72,0.1642,2,48,50,18.04,72.0,Workday,3.9215686274509802,94.11764705882352
1094,2011-02-18,1,0,2,7,0,5,1,2,0.42,0.4242,0.77,0.2239,8,108,116,17.22,77.0,Workday,6.837606837606838,92.3076923076923
1095,2011-02-18,1,0,2,8,0,5,1,2,0.42,0.4242,0.77,0.194,26,246,272,17.22,77.0,Workday,9.523809523809524,90.10989010989012
1096,2011-02-18,1,0,2,9,0,5,1,2,0.42,0.4242,0.77,0.194,15,154,169,17.22,77.0,Workday,8.823529411764707,90.58823529411765
1097,2011-02-18,1,0,2,10,0,5,1,2,0.44,0.4394,0.72,0.2239,17,78,95,18.04,72.0,Workday,17.708333333333336,81.25
1098,2011-02-18,1,0,2,11,0,5,1,1,0.44,0.4394,0.72,0.1642,31,82,113,18.04,72.0,Workday,27.192982456140353,71.9298245614035
1099,2011-02-18,1,0,2,12,0,5,1,1,0.5,0.4848,0.59,0.194,59,126,185,20.5,59.0,Workday,31.72043010752688,67.74193548387096
1100,2011-02-18,1,0,2,13,0,5,1,1,0.6,0.6212,0.43,0.194,45,131,176,24.599999999999998,43.0,Workday,25.423728813559322,74.01129943502825
1101,2011-02-18,1,0,2,14,0,5,1,1,0.66,0.6212,0.36,0.2985,73,118,191,27.060000000000002,36.0,Workday,38.02083333333333,61.458333333333336
1102,2011-02-18,1,0,2,15,0,5,1,1,0.66,0.6212,0.36,0.3284,55,117,172,27.060000000000002,36.0,Workday,31.79190751445087,67.63005780346822
1103,2011-02-18,1,0,2,16,0,5,1,1,0.66,0.6212,0.36,0.2836,68,164,232,27.060000000000002,36.0,Workday,29.184549356223176,70.3862660944206
1104,2011-02-18,1,0,2,17,0,5,1,1,0.66,0.6212,0.34,0.3582,52,275,327,27.060000000000002,34.0,Workday,15.853658536585366,83.84146341463415
1105,2011-02-18,1,0,2,18,0,5,1,1,0.64,0.6212,0.33,0.3284,29,195,224,26.240000000000002,33.0,Workday,12.88888888888889,86.66666666666667
1106,2011-02-18,1,0,2,19,0,5,1,1,0.62,0.6212,0.29,0.5821,16,146,162,25.419999999999998,28.999999999999996,Workday,9.815950920245399,89.57055214723927
1107,2011-02-18,1,0,2,20,0,5,1,1,0.6,0.6212,0.31,0.194,19,105,124,24.599999999999998,31.0,Workday,15.2,84.0
1108,2011-02-18,1,0,2,21,0,5,1,1,0.58,0.5455,0.21,0.4925,11,61,72,23.779999999999998,21.0,Workday,15.068493150684931,83.56164383561644
1109,2011-02-18,1,0,2,22,0,5,1,1,0.54,0.5152,0.1,0.2537,19,88,107,22.14,10.0,Workday,17.59259259259259,81.48148148148148
1110,2011-02-18,1,0,2,23,0,5,1,1,0.52,0.5,0.08,0.2836,16,61,77,21.32,8.0,Workday,20.51282051282051,78.2051282051282
1111,2011-02-19,1,0,2,0,0,6,0,1,0.48,0.4697,0.12,0.4925,6,23,29,19.68,12.0,Weekend/Holiday,20.0,76.66666666666667
1112,2011-02-19,1,0,2,1,0,6,0,1,0.46,0.4545,0.14,0.4179,10,21,31,18.86,14.000000000000002,Weekend/Holiday,31.25,65.625
1113,2011-02-19,1,0,2,2,0,6,0,1,0.44,0.4394,0.13,0.3881,3,14,17,18.04,13.0,Weekend/Holiday,16.666666666666664,77.77777777777779
1114,2011-02-19,1,0,2,3,0,6,0,1,0.42,0.4242,0.14,0.2985,0,7,7,17.22,14.000000000000002,Weekend/Holiday,0.0,87.5
1115,2011-02-19,1,0,2,4,0,6,0,1,0.4,0.4091,0.15,0.3284,0,3,3,16.400000000000002,15.0,Weekend/Holiday,0.0,75.0
1116,2011-02-19,1,0,2,5,0,6,0,1,0.4,0.4091,0.15,0.3284,0,3,3,16.400000000000002,15.0,Weekend/Holiday,0.0,75.0
1117,2011-02-19,1,0,2,6,0,6,0,1,0.4,0.4091,0.17,0.4179,3,3,6,16.400000000000002,17.0,Weekend/Holiday,42.857142857142854,42.857142857142854
1118,2011-02-19,1,0,2,7,0,6,0,1,0.38,0.3939,0.17,0.5224,6,16,22,15.58,17.0,Weekend/Holiday,26.08695652173913,69.56521739130434
1119,2011-02-19,1,0,2,8,0,6,0,1,0.38,0.3939,0.17,0.5821,9,36,45,15.58,17.0,Weekend/Holiday,19.565217391304348,78.26086956521739
1120,2011-02-19,1,0,2,9,0,6,0,1,0.4,0.4091,0.16,0.6567,18,37,55,16.400000000000002,16.0,Weekend/Holiday,32.142857142857146,66.07142857142857
1121,2011-02-19,1,0,2,10,0,6,0,1,0.42,0.4242,0.16,0.5821,34,72,106,17.22,16.0,Weekend/Holiday,31.775700934579437,67.28971962616822
1122,2011-02-19,1,0,2,11,0,6,0,1,0.44,0.4394,0.16,0.5821,47,76,123,18.04,16.0,Weekend/Holiday,37.903225806451616,61.29032258064516
1123,2011-02-19,1,0,2,12,0,6,0,1,0.44,0.4394,0.18,0.4925,38,81,119,18.04,18.0,Weekend/Holiday,31.666666666666664,67.5
1124,2011-02-19,1,0,2,13,0,6,0,1,0.44,0.4394,0.16,0.6119,52,103,155,18.04,16.0,Weekend/Holiday,33.33333333333333,66.02564102564102
1125,2011-02-19,1,0,2,14,0,6,0,1,0.46,0.4545,0.15,0.6567,102,94,196,18.86,15.0,Weekend/Holiday,51.776649746192895,47.71573604060914
1126,2011-02-19,1,0,2,15,0,6,0,1,0.44,0.4394,0.16,0.7463,84,87,171,18.04,16.0,Weekend/Holiday,48.837209302325576,50.58139534883721
1127,2011-02-19,1,0,2,16,0,6,0,1,0.44,0.4394,0.16,0.6418,39,81,120,18.04,16.0,Weekend/Holiday,32.231404958677686,66.94214876033058
1128,2011-02-19,1,0,2,17,0,6,0,1,0.42,0.4242,0.19,0.6119,36,91,127,17.22,19.0,Weekend/Holiday,28.125,71.09375
1129,2011-02-19,1,0,2,18,0,6,0,1,0.36,0.3182,0.25,0.4478,21,67,88,14.76,25.0,Weekend/Holiday,23.595505617977526,75.28089887640449
1130,2011-02-19,1,0,2,19,0,6,0,1,0.34,0.303,0.29,0.3582,5,54,59,13.940000000000001,28.999999999999996,Weekend/Holiday,8.333333333333332,90.0
1131,2011-02-19,1,0,2,20,0,6,0,1,0.32,0.2879,0.28,0.5224,9,38,47,13.120000000000001,28.000000000000004,Weekend/Holiday,18.75,79.16666666666666
1132,2011-02-19,1,0,2,21,0,6,0,1,0.32,0.2727,0.26,0.5522,4,29,33,13.120000000000001,26.0,Weekend/Holiday,11.76470588235294,85.29411764705883
1133,2011-02-19,1,0,2,22,0,6,0,1,0.3,0.2576,0.28,0.4925,2,42,44,12.299999999999999,28.000000000000004,Weekend/Holiday,4.444444444444445,93.33333333333333
1134,2011-02-19,1,0,2,23,0,6,0,1,0.28,0.2424,0.33,0.4478,4,25,29,11.48,33.0,Weekend/Holiday,13.333333333333334,83.33333333333334
1135,2011-02-20,1,0,2,0,0,0,0,1,0.26,0.2121,0.35,0.4478,3,14,17,10.66,35.0,Weekend/Holiday,16.666666666666664,77.77777777777779
1136,2011-02-20,1,0,2,1,0,0,0,1,0.24,0.197,0.41,0.4627,5,11,16,9.84,41.0,Weekend/Holiday,29.411764705882355,64.70588235294117
1137,2011-02-20,1,0,2,2,0,0,0,1,0.24,0.197,0.41,0.5522,0,17,17,9.84,41.0,Weekend/Holiday,0.0,94.44444444444444
1138,2011-02-20,1,0,2,3,0,0,0,1,0.22,0.1818,0.44,0.5522,9,9,18,9.02,44.0,Weekend/Holiday,47.368421052631575,47.368421052631575
1139,2011-02-20,1,0,2,4,0,0,0,1,0.22,0.1818,0.44,0.5522,0,1,1,9.02,44.0,Weekend/Holiday,0.0,50.0
1140,2011-02-20,1,0,2,6,0,0,0,1,0.2,0.1818,0.47,0.2985,1,1,2,8.200000000000001,47.0,Weekend/Holiday,33.33333333333333,33.33333333333333
1141,2011-02-20,1,0,2,7,0,0,0,1,0.18,0.1667,0.51,0.2537,0,2,2,7.38,51.0,Weekend/Holiday,0.0,66.66666666666666
1142,2011-02-20,1,0,2,8,0,0,0,1,0.2,0.2273,0.51,0.1045,2,22,24,8.200000000000001,51.0,Weekend/Holiday,8.0,88.0
1143,2011-02-20,1,0,2,9,0,0,0,1,0.22,0.2121,0.47,0.2836,7,48,55,9.02,47.0,Weekend/Holiday,12.5,85.71428571428571
1144,2011-02-20,1,0,2,10,0,0,0,2,0.26,0.2576,0.41,0.194,34,70,104,10.66,41.0,Weekend/Holiday,32.38095238095238,66.66666666666666
1145,2011-02-20,1,0,2,11,0,0,0,2,0.3,0.303,0.33,0.1642,72,89,161,12.299999999999999,33.0,Weekend/Holiday,44.44444444444444,54.93827160493827
1146,2011-02-20,1,0,2,12,0,0,0,1,0.3,0.3182,0.33,0.1045,62,120,182,12.299999999999999,33.0,Weekend/Holiday,33.87978142076503,65.57377049180327
1147,2011-02-20,1,0,2,13,0,0,0,1,0.34,0.3333,0.29,0.0,76,122,198,13.940000000000001,28.999999999999996,Weekend/Holiday,38.19095477386934,61.30653266331658
1148,2011-02-20,1,0,2,14,0,0,0,1,0.36,0.3485,0.27,0.1642,108,104,212,14.76,27.0,Weekend/Holiday,50.70422535211267,48.82629107981221
1149,2011-02-20,1,0,2,15,0,0,0,1,0.36,0.3636,0.27,0.0896,66,102,168,14.76,27.0,Weekend/Holiday,39.053254437869825,60.35502958579882
1150,2011-02-20,1,0,2,16,0,0,0,1,0.36,0.3636,0.29,0.0896,59,88,147,14.76,28.999999999999996,Weekend/Holiday,39.86486486486486,59.45945945945946
1151,2011-02-20,1,0,2,17,0,0,0,1,0.34,0.3485,0.33,0.1642,60,86,146,13.940000000000001,33.0,Weekend/Holiday,40.816326530612244,58.50340136054422
1152,2011-02-20,1,0,2,18,0,0,0,2,0.34,0.3333,0.36,0.1343,30,71,101,13.940000000000001,36.0,Weekend/Holiday,29.411764705882355,69.6078431372549
1153,2011-02-20,1,0,2,19,0,0,0,2,0.34,0.3333,0.36,0.1343,3,39,42,13.940000000000001,36.0,Weekend/Holiday,6.976744186046512,90.69767441860465
1154,2011-02-20,1,0,2,20,0,0,0,2,0.34,0.3636,0.42,0.0,12,30,42,13.940000000000001,42.0,Weekend/Holiday,27.906976744186046,69.76744186046511
1155,2011-02-20,1,0,2,21,0,0,0,2,0.32,0.3485,0.53,0.0,17,39,56,13.120000000000001,53.0,Weekend/Holiday,29.82456140350877,68.42105263157895
1156,2011-02-20,1,0,2,22,0,0,0,2,0.32,0.303,0.57,0.2239,4,43,47,13.120000000000001,56.99999999999999,Weekend/Holiday,8.333333333333332,89.58333333333334
1157,2011-02-20,1,0,2,23,0,0,0,2,0.3,0.303,0.61,0.1642,9,45,54,12.299999999999999,61.0,Weekend/Holiday,16.363636363636363,81.81818181818183
1158,2011-02-21,1,0,2,0,1,1,0,2,0.34,0.303,0.42,0.3284,7,30,37,13.940000000000001,42.0,Weekend/Holiday,18.421052631578945,78.94736842105263
1159,2011-02-21,1,0,2,1,1,1,0,2,0.34,0.303,0.42,0.3284,2,11,13,13.940000000000001,42.0,Weekend/Holiday,14.285714285714285,78.57142857142857
1160,2011-02-21,1,0,2,2,1,1,0,2,0.34,0.303,0.42,0.3284,1,3,4,13.940000000000001,42.0,Weekend/Holiday,20.0,60.0
1161,2011-02-21,1,0,2,3,1,1,0,2,0.34,0.303,0.42,0.2985,2,3,5,13.940000000000001,42.0,Weekend/Holiday,33.33333333333333,50.0
1162,2011-02-21,1,0,2,4,1,1,0,1,0.32,0.3182,0.45,0.1642,1,0,1,13.120000000000001,45.0,Weekend/Holiday,50.0,0.0
1163,2011-02-21,1,0,2,5,1,1,0,2,0.34,0.3636,0.36,0.0,1,2,3,13.940000000000001,36.0,Weekend/Holiday,25.0,50.0
1164,2011-02-21,1,0,2,6,1,1,0,2,0.42,0.4242,0.26,0.2985,2,6,8,17.22,26.0,Weekend/Holiday,22.22222222222222,66.66666666666666
1165,2011-02-21,1,0,2,7,1,1,0,2,0.42,0.4242,0.26,0.2836,3,16,19,17.22,26.0,Weekend/Holiday,15.0,80.0
1166,2011-02-21,1,0,2,8,1,1,0,2,0.32,0.303,0.57,0.2985,7,56,63,13.120000000000001,56.99999999999999,Weekend/Holiday,10.9375,87.5
1167,2011-02-21,1,0,2,9,1,1,0,2,0.32,0.303,0.57,0.2836,11,46,57,13.120000000000001,56.99999999999999,Weekend/Holiday,18.96551724137931,79.3103448275862
1168,2011-02-21,1,0,2,10,1,1,0,2,0.32,0.303,0.57,0.2537,29,52,81,13.120000000000001,56.99999999999999,Weekend/Holiday,35.36585365853659,63.41463414634146
1169,2011-02-21,1,0,2,11,1,1,0,2,0.32,0.3333,0.57,0.1045,20,70,90,13.120000000000001,56.99999999999999,Weekend/Holiday,21.978021978021978,76.92307692307693
1170,2011-02-21,1,0,2,12,1,1,0,2,0.32,0.3182,0.66,0.194,26,67,93,13.120000000000001,66.0,Weekend/Holiday,27.659574468085108,71.27659574468085
1171,2011-02-21,1,0,2,13,1,1,0,3,0.3,0.2727,0.81,0.3284,28,75,103,12.299999999999999,81.0,Weekend/Holiday,26.923076923076923,72.11538461538461
1172,2011-02-21,1,0,2,14,1,1,0,2,0.32,0.303,0.76,0.2537,15,101,116,13.120000000000001,76.0,Weekend/Holiday,12.82051282051282,86.32478632478633
1173,2011-02-21,1,0,2,15,1,1,0,2,0.3,0.2727,0.7,0.4478,11,76,87,12.299999999999999,70.0,Weekend/Holiday,12.5,86.36363636363636
1174,2011-02-21,1,0,2,16,1,1,0,3,0.28,0.2424,0.75,0.4179,8,48,56,11.48,75.0,Weekend/Holiday,14.035087719298245,84.21052631578947
1175,2011-02-21,1,0,2,17,1,1,0,2,0.28,0.2576,0.75,0.3881,18,62,80,11.48,75.0,Weekend/Holiday,22.22222222222222,76.5432098765432
1176,2011-02-21,1,0,2,18,1,1,0,2,0.24,0.2121,0.87,0.3582,2,64,66,9.84,87.0,Weekend/Holiday,2.9850746268656714,95.52238805970148
1177,2011-02-21,1,0,2,19,1,1,0,2,0.24,0.2121,0.87,0.3582,0,49,49,9.84,87.0,Weekend/Holiday,0.0,98.0
1178,2011-02-21,1,0,2,20,1,1,0,3,0.24,0.2121,0.81,0.3881,0,29,29,9.84,81.0,Weekend/Holiday,0.0,96.66666666666667
1179,2011-02-21,1,0,2,21,1,1,0,3,0.22,0.197,0.75,0.4478,1,33,34,9.02,75.0,Weekend/Holiday,2.857142857142857,94.28571428571428
1180,2011-02-21,1,0,2,22,1,1,0,3,0.2,0.1667,0.75,0.4179,0,11,11,8.200000000000001,75.0,Weekend/Holiday,0.0,91.66666666666666
1181,2011-02-21,1,0,2,23,1,1,0,3,0.2,0.1667,0.75,0.4179,0,2,2,8.200000000000001,75.0,Weekend/Holiday,0.0,66.66666666666666
1182,2011-02-22,1,0,2,6,0,2,1,2,0.12,0.1212,0.8,0.2836,0,7,7,4.92,80.0,Workday,0.0,87.5
1183,2011-02-22,1,0,2,7,0,2,1,2,0.12,0.1212,0.8,0.2836,0,40,40,4.92,80.0,Workday,0.0,97.5609756097561
1184,2011-02-22,1,0,2,8,0,2,1,2,0.12,0.1212,0.8,0.2537,7,107,114,4.92,80.0,Workday,6.086956521739131,93.04347826086956
1185,2011-02-22,1,0,2,9,0,2,1,2,0.14,0.1212,0.74,0.2537,5,101,106,5.74,74.0,Workday,4.672897196261682,94.39252336448598
1186,2011-02-22,1,0,2,10,0,2,1,1,0.16,0.1818,0.69,0.0,0,44,44,6.5600000000000005,69.0,Workday,0.0,97.77777777777777
1187,2011-02-22,1,0,2,11,0,2,1,1,0.16,0.2273,0.64,0.0,7,43,50,6.5600000000000005,64.0,Workday,13.725490196078432,84.31372549019608
1188,2011-02-22,1,0,2,12,0,2,1,1,0.2,0.2273,0.59,0.1045,7,48,55,8.200000000000001,59.0,Workday,12.5,85.71428571428571
1189,2011-02-22,1,0,2,13,0,2,1,1,0.22,0.2273,0.55,0.1642,3,52,55,9.02,55.00000000000001,Workday,5.357142857142857,92.85714285714286
1190,2011-02-22,1,0,2,14,0,2,1,1,0.22,0.2273,0.55,0.194,9,49,58,9.02,55.00000000000001,Workday,15.254237288135593,83.05084745762711
1191,2011-02-22,1,0,2,15,0,2,1,1,0.24,0.2273,0.48,0.194,2,67,69,9.84,48.0,Workday,2.857142857142857,95.71428571428572
1192,2011-02-22,1,0,2,16,0,2,1,1,0.22,0.2273,0.51,0.1642,7,79,86,9.02,51.0,Workday,8.045977011494253,90.80459770114942
1193,2011-02-22,1,0,2,17,0,2,1,1,0.22,0.2121,0.51,0.2239,8,188,196,9.02,51.0,Workday,4.060913705583756,95.43147208121827
1194,2011-02-22,1,0,2,18,0,2,1,1,0.22,0.2273,0.47,0.1343,6,161,167,9.02,47.0,Workday,3.571428571428571,95.83333333333334
1195,2011-02-22,1,0,2,19,0,2,1,1,0.2,0.1818,0.47,0.2836,4,114,118,8.200000000000001,47.0,Workday,3.361344537815126,95.7983193277311
1196,2011-02-22,1,0,2,20,0,2,1,1,0.2,0.197,0.47,0.2239,3,102,105,8.200000000000001,47.0,Workday,2.8301886792452833,96.22641509433963
1197,2011-02-22,1,0,2,21,0,2,1,1,0.2,0.197,0.47,0.2537,2,80,82,8.200000000000001,47.0,Workday,2.4096385542168677,96.3855421686747
1198,2011-02-22,1,0,2,22,0,2,1,1,0.16,0.1515,0.43,0.2537,1,76,77,6.5600000000000005,43.0,Workday,1.282051282051282,97.43589743589743
1199,2011-02-22,1,0,2,23,0,2,1,1,0.16,0.1515,0.43,0.2537,3,18,21,6.5600000000000005,43.0,Workday,13.636363636363635,81.81818181818183
1200,2011-02-23,1,0,2,0,0,3,1,1,0.14,0.1364,0.5,0.194,0,6,6,5.74,50.0,Workday,0.0,85.71428571428571
1201,2011-02-23,1,0,2,1,0,3,1,1,0.14,0.1515,0.46,0.1642,0,4,4,5.74,46.0,Workday,0.0,80.0
1202,2011-02-23,1,0,2,2,0,3,1,1,0.12,0.1515,0.5,0.1343,0,1,1,4.92,50.0,Workday,0.0,50.0
1203,2011-02-23,1,0,2,3,0,3,1,1,0.12,0.1364,0.5,0.1642,0,2,2,4.92,50.0,Workday,0.0,66.66666666666666
1204,2011-02-23,1,0,2,5,0,3,1,1,0.12,0.1515,0.5,0.1045,0,8,8,4.92,50.0,Workday,0.0,88.88888888888889
1205,2011-02-23,1,0,2,6,0,3,1,1,0.12,0.1515,0.5,0.1045,0,36,36,4.92,50.0,Workday,0.0,97.2972972972973
1206,2011-02-23,1,0,2,7,0,3,1,1,0.12,0.1515,0.54,0.1343,2,94,96,4.92,54.0,Workday,2.0618556701030926,96.90721649484536
1207,2011-02-23,1,0,2,8,0,3,1,1,0.14,0.1515,0.54,0.1642,8,227,235,5.74,54.0,Workday,3.389830508474576,96.1864406779661
1208,2011-02-23,1,0,2,9,0,3,1,1,0.18,0.2121,0.51,0.0896,9,130,139,7.38,51.0,Workday,6.428571428571428,92.85714285714286
1209,2011-02-23,1,0,2,10,0,3,1,1,0.2,0.2576,0.4,0.0,4,47,51,8.200000000000001,40.0,Workday,7.6923076923076925,90.38461538461539
1210,2011-02-23,1,0,2,11,0,3,1,1,0.24,0.2576,0.41,0.1045,16,53,69,9.84,41.0,Workday,22.857142857142858,75.71428571428571
1211,2011-02-23,1,0,2,12,0,3,1,1,0.26,0.2879,0.35,0.0896,11,56,67,10.66,35.0,Workday,16.176470588235293,82.35294117647058
1212,2011-02-23,1,0,2,13,0,3,1,1,0.3,0.3182,0.28,0.0896,9,78,87,12.299999999999999,28.000000000000004,Workday,10.227272727272728,88.63636363636364
1213,2011-02-23,1,0,2,14,0,3,1,1,0.32,0.3333,0.29,0.1045,17,61,78,13.120000000000001,28.999999999999996,Workday,21.518987341772153,77.21518987341773
1214,2011-02-23,1,0,2,15,0,3,1,1,0.34,0.3485,0.25,0.0896,18,54,72,13.940000000000001,25.0,Workday,24.65753424657534,73.97260273972603
1215,2011-02-23,1,0,2,16,0,3,1,1,0.34,0.3636,0.25,0.0,15,79,94,13.940000000000001,25.0,Workday,15.789473684210526,83.15789473684211
1216,2011-02-23,1,0,2,17,0,3,1,1,0.34,0.3485,0.25,0.0896,15,207,222,13.940000000000001,25.0,Workday,6.726457399103139,92.82511210762333
1217,2011-02-23,1,0,2,18,0,3,1,1,0.32,0.3333,0.26,0.0896,3,206,209,13.120000000000001,26.0,Workday,1.4285714285714286,98.09523809523809
1218,2011-02-23,1,0,2,19,0,3,1,1,0.3,0.3333,0.33,0.0,6,135,141,12.299999999999999,33.0,Workday,4.225352112676056,95.07042253521126
1219,2011-02-23,1,0,2,20,0,3,1,1,0.24,0.2424,0.6,0.1642,2,107,109,9.84,60.0,Workday,1.8181818181818181,97.27272727272728
1220,2011-02-23,1,0,2,21,0,3,1,1,0.24,0.2879,0.48,0.0,2,89,91,9.84,48.0,Workday,2.1739130434782608,96.73913043478261
1221,2011-02-23,1,0,2,22,0,3,1,1,0.24,0.2879,0.48,0.0,1,60,61,9.84,48.0,Workday,1.6129032258064515,96.7741935483871
1222,2011-02-23,1,0,2,23,0,3,1,1,0.22,0.2576,0.55,0.0896,1,38,39,9.02,55.00000000000001,Workday,2.5,95.0
1223,2011-02-24,1,0,2,0,0,4,1,1,0.22,0.2576,0.55,0.0896,0,11,11,9.02,55.00000000000001,Workday,0.0,91.66666666666666
1224,2011-02-24,1,0,2,1,0,4,1,1,0.22,0.2576,0.6,0.0896,0,7,7,9.02,60.0,Workday,0.0,87.5
1225,2011-02-24,1,0,2,2,0,4,1,1,0.2,0.2273,0.64,0.0896,0,4,4,8.200000000000001,64.0,Workday,0.0,80.0
1226,2011-02-24,1,0,2,3,0,4,1,1,0.2,0.2121,0.64,0.1343,0,2,2,8.200000000000001,64.0,Workday,0.0,66.66666666666666
1227,2011-02-24,1,0,2,5,0,4,1,1,0.2,0.2121,0.69,0.1343,1,3,4,8.200000000000001,69.0,Workday,20.0,60.0
1228,2011-02-24,1,0,2,6,0,4,1,1,0.2,0.197,0.69,0.194,0,58,58,8.200000000000001,69.0,Workday,0.0,98.30508474576271
1229,2011-02-24,1,0,2,7,0,4,1,1,0.2,0.197,0.72,0.194,0,104,104,8.200000000000001,72.0,Workday,0.0,99.04761904761905
1230,2011-02-24,1,0,2,8,0,4,1,1,0.24,0.2273,0.7,0.2239,8,244,252,9.84,70.0,Workday,3.1620553359683794,96.44268774703558
1231,2011-02-24,1,0,2,9,0,4,1,2,0.24,0.2121,0.75,0.2985,4,133,137,9.84,75.0,Workday,2.898550724637681,96.37681159420289
1232,2011-02-24,1,0,2,10,0,4,1,2,0.26,0.2424,0.7,0.2836,8,49,57,10.66,70.0,Workday,13.793103448275861,84.48275862068965
1233,2011-02-24,1,0,2,11,0,4,1,2,0.32,0.2879,0.57,0.3881,8,71,79,13.120000000000001,56.99999999999999,Workday,10.0,88.75
1234,2011-02-24,1,0,2,12,0,4,1,2,0.36,0.3333,0.53,0.3582,10,85,95,14.76,53.0,Workday,10.416666666666668,88.54166666666666
1235,2011-02-24,1,0,2,13,0,4,1,2,0.38,0.3939,0.54,0.2985,16,72,88,15.58,54.0,Workday,17.97752808988764,80.89887640449437
1236,2011-02-24,1,0,2,14,0,4,1,2,0.4,0.4091,0.5,0.2985,2,67,69,16.400000000000002,50.0,Workday,2.857142857142857,95.71428571428572
